price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_surface_house,bathrooms,heating_type,terrace_surface_apartment,land_surface_house,sewer_connection,running_water,primary_energy_consumption,co2_house,certification_electrical_installation,preemption_right,flooding_area_type,leased,living_room_surface,attic_house,glazing_type,elevator,entry_phone_apartment,access_disabled,apartement_floor_apartment,number_floors_apartment,toilets,cadastral_income_house,property_subtype,postal_code,locality,property_type,price_per_m2,cluster,luxury_segment,is_luxurious
229900.0,2.0,73.0,2,-1.0,0,1,0,-1,-1,1958.0,-1,1,-1.0,1.0,3,4.0,-1.0,-1,-1,286.0,-1.0,1,-1,0,0,35.0,-1.0,-1,0.0,-1.0,-1,2.0,2.0,1.0,622.0,apartment,2170,merksem,Apartment,3149.3150684931506,1.0,0,False
259000.0,3.0,97.0,2,3.0,0,1,0,-1,-1,1963.0,-1,-1,-1.0,1.0,3,3.0,-1.0,-1,1,198.0,-1.0,0,0,-1,0,-1.0,-1.0,-1,1.0,-1.0,-1,2.0,3.0,1.0,944.0,apartment,2100,deurne,Apartment,2670.103092783505,1.0,0,False
299000.0,2.0,100.0,3,3.0,0,1,1,-1,-1,-1.0,-1,1,-1.0,1.0,3,-1.0,-1.0,-1,1,185.0,-1.0,1,0,1,0,-1.0,-1.0,-1,1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,ground floor,2170,merksem,Apartment,2990.0,1.0,0,False
235000.0,1.0,51.0,2,2.0,0,0,1,-1,-1,1975.0,-1,-1,-1.0,1.0,3,-1.0,-1.0,-1,1,247.0,-1.0,1,0,1,0,-1.0,-1.0,-1,1.0,-1.0,-1,3.0,6.0,1.0,498.0,apartment,2018,antwerp,Apartment,4607.843137254902,1.0,0,False
439000.0,2.0,83.0,2,3.0,0,1,0,-1,-1,2010.0,-1,-1,-1.0,1.0,3,4.0,-1.0,-1,1,125.0,-1.0,1,0,-1,0,-1.0,-1.0,-1,1.0,-1.0,-1,10.0,22.0,1.0,-1.0,apartment,2000,antwerp,Apartment,5289.156626506024,1.0,0,False
119000.0,-1.0,34.0,0,4.0,-1,1,0,-1,-1,1965.0,-1,-1,4.0,1.0,3,-1.0,-1.0,-1,1,300.0,-1.0,-1,-1,1,0,26.0,-1.0,0,1.0,-1.0,-1,3.0,4.0,1.0,632.0,apartment,2018,antwerp,Apartment,3500.0,1.0,0,False
289000.0,2.0,123.0,2,-1.0,0,1,0,-1,-1,1975.0,-1,-1,-1.0,2.0,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,0,0,1,0,-1.0,-1.0,-1,1.0,-1.0,-1,7.0,-1.0,2.0,2320.0,apartment,2600,berchem,Apartment,2349.5934959349593,1.0,0,False
309000.0,3.0,117.0,3,2.0,0,1,0,-1,-1,-1.0,-1,1,-1.0,1.0,3,-1.0,-1.0,-1,1,143.0,-1.0,-1,-1,1,0,-1.0,-1.0,-1,0.0,-1.0,-1,2.0,-1.0,1.0,-1.0,apartment,2170,merksem,Apartment,2641.025641025641,1.0,0,False
289000.0,3.0,101.0,-1,-1.0,-1,0,0,-1,-1,1927.0,-1,-1,-1.0,1.0,3,-1.0,-1.0,-1,-1,181.0,-1.0,-1,0,1,0,-1.0,-1.0,1,0.0,-1.0,0,2.0,3.0,1.0,-1.0,apartment,2140,borgerhout,Apartment,2861.3861386138615,1.0,0,False
575000.0,4.0,195.0,-1,-1.0,-1,1,0,-1,-1,1981.0,-1,-1,-1.0,2.0,-1,10.0,-1.0,-1,-1,126.0,-1.0,-1,0,1,0,-1.0,-1.0,-1,1.0,-1.0,0,2.0,8.0,-1.0,-1.0,apartment,2018,antwerp,Apartment,2948.7179487179487,1.0,0,False
225000.0,1.0,55.0,2,2.0,0,1,0,-1,-1,2017.0,-1,1,-1.0,1.0,3,-1.0,-1.0,-1,-1,48.0,-1.0,1,-1,0,0,-1.0,-1.0,-1,0.0,-1.0,-1,3.0,10.0,1.0,707.0,apartment,2140,borgerhout,Apartment,4090.909090909091,1.0,0,False
395000.0,2.0,100.0,-1,-1.0,-1,1,0,-1,-1,-1.0,-1,-1,-1.0,1.0,-1,15.0,-1.0,-1,-1,234.0,-1.0,-1,-1,1,0,-1.0,-1.0,1,0.0,-1.0,0,0.0,4.0,1.0,-1.0,apartment,2000,antwerp,Apartment,3950.0,1.0,0,False
349000.0,2.0,115.0,-1,-1.0,-1,1,0,-1,-1,1970.0,-1,-1,-1.0,-1.0,2,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,1,0,-1.0,-1.0,1,0.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,apartment,2600,berchem,Apartment,3034.782608695652,1.0,0,False
375000.0,2.0,107.0,2,-1.0,0,1,0,-1,-1,2021.0,0,-1,-1.0,1.0,-1,30.0,-1.0,-1,-1,-1.0,-1.0,-1,0,1,-1,-1.0,0.0,-1,1.0,-1.0,0,1.0,-1.0,-1.0,1115.0,apartment,2050,antwerp,Apartment,3504.6728971962616,1.0,0,False
199900.0,2.0,60.0,2,-1.0,0,1,0,-1,-1,1957.0,-1,-1,-1.0,1.0,3,3.0,-1.0,-1,-1,292.0,-1.0,1,-1,0,0,28.0,-1.0,-1,0.0,-1.0,-1,2.0,2.0,1.0,-1.0,apartment,2100,deurne,Apartment,3331.6666666666665,1.0,0,False
