Postal Code;Special code;Submunicipality code;R?gion code;Province code;Arrondissement code;Municipality code;ISO 3166-3 Area code;Official language or language combination;Sub-municipality name (French);Sub-municipality name (Dutch);Sub-municipality name (German);R?gion name (German);R?gion name (Dutch);R?gion name (French);Province name (German);Province name (Dutch);Province name (French);Arrondissement name (German);Arrondissement name (Dutch);Arrondissement name (French);Municipality name (German);Municipality name (Dutch);Municipality name (French);sub_municipaliti_name_maj
1105;1;21004-Z;1000;;21000;21004;BEL;NL-FR;Bruxelles;Brussel;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Brussel;Bruxelles;BRUXELLES
1110;1;21004-Z;1000;;21000;21004;BEL;NL-FR;Bruxelles;Brussel;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Brussel;Bruxelles;BRUXELLES
1120;0;21004-Z;1000;;21000;21004;BEL;NL-FR;Bruxelles;Brussel;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Brussel;Bruxelles;BRUXELLES
1130;0;21004-Z;1000;;21000;21004;BEL;NL-FR;Bruxelles;Brussel;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Brussel;Bruxelles;BRUXELLES
1140;0;21006A;1000;;21000;21006;BEL;NL-FR;Evere;Evere;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Evere;Evere;EVERE
1150;0;21019A;1000;;21000;21019;BEL;NL-FR;Woluwe-Saint-Pierre;Sint-Pieters-Woluwe;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Sint-Pieters-Woluwe;Woluwe-Saint-Pierre;WOLUWE-SAINT-PIERRE
1160;0;21002A;1000;;21000;21002;BEL;NL-FR;Auderghem;Oudergem;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Oudergem;Auderghem;AUDERGHEM
1170;0;21017A;1000;;21000;21017;BEL;NL-FR;Watermael-Boitsfort;Watermaal-Bosvoorde;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Watermaal-Bosvoorde;Watermael-Boitsfort;WATERMAEL-BOITSFORT
1180;0;21016A;1000;;21000;21016;BEL;NL-FR;Uccle;Ukkel;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Ukkel;Uccle;UCCLE
1190;0;21007A;1000;;21000;21007;BEL;NL-FR;Forest;Vorst;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Vorst;Forest;FOREST
1200;0;21018A;1000;;21000;21018;BEL;NL-FR;Woluwe-Saint-Lambert;Sint-Lambrechts-Woluwe;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Sint-Lambrechts-Woluwe;Woluwe-Saint-Lambert;WOLUWE-SAINT-LAMBERT
1210;0;21014A;1000;;21000;21014;BEL;NL-FR;Saint-Josse-ten-Noode;Sint-Joost-ten-Node;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Sint-Joost-ten-Node;Saint-Josse-ten-Noode;SAINT-JOSSE-TEN-NOODE
1212;1;21014A;1000;;21000;21014;BEL;NL-FR;Saint-Josse-ten-Noode;Sint-Joost-ten-Node;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Sint-Joost-ten-Node;Saint-Josse-ten-Noode;SAINT-JOSSE-TEN-NOODE
1300;0;25112C;3000;20002;25000;25112;BEL;FR;Limal;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Wavre;LIMAL
1300;0;25112A;3000;20002;25000;25112;BEL;FR;Wavre;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Wavre;WAVRE
1301;0;25112B;3000;20002;25000;25112;BEL;FR;Bierges;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Wavre;BIERGES
1310;0;25050A;3000;20002;25000;25050;BEL;FR;La Hulpe;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;La Hulpe;LA HULPE
1315;0;25043A;3000;20002;25000;25043;BEL;FR;Incourt;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Incourt;INCOURT
1320;0;25005A;3000;20002;25000;25005;BEL;FR;Beauvechain;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Beauvechain;BEAUVECHAIN
1325;0;25018A;3000;20002;25000;25018;BEL;FR;Chaumont-Gistoux;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Chaumont-Gistoux;CHAUMONT-GISTOUX
1330;0;25091A;3000;20002;25000;25091;BEL;FR;Rixensart;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Rixensart;RIXENSART
1331;0;25091C;3000;20002;25000;25091;BEL;FR;Rosi?res;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Rixensart;ROSIERES
1332;0;25091B;3000;20002;25000;25091;BEL;FR;Genval;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Rixensart;GENVAL
1340;0;25121-Z;3000;20002;25000;25121;BEL;FR;Ottignies;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Ottignies-Louvain-la-Neuve;OTTIGNIES
1341;0;25121B;3000;20002;25000;25121;BEL;FR;C?roux-Mousty;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Ottignies-Louvain-la-Neuve;CEROUX-MOUSTY
1342;0;25121C;3000;20002;25000;25121;BEL;FR;Limelette;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Ottignies-Louvain-la-Neuve;LIMELETTE
1348;0;25121-Z;3000;20002;25000;25121;BEL;FR;Ottignies;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Ottignies-Louvain-la-Neuve;OTTIGNIES
1350;0;25120C;3000;20002;25000;25120;BEL;FR;Jauche;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Orp-Jauche;JAUCHE
1357;0;25118A;3000;20002;25000;25118;BEL;FR;Neerheylissem;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;H?l?cine;NEERHEYLISSEM
1360;0;25084B;3000;20002;25000;25084;BEL;FR;Thorembais-Saint-Trond;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Perwez;THOREMBAIS-SAINT-TROND
1367;0;25122C;3000;20002;25000;25122;BEL;FR;Geest-G?rompont-Petit-Rosi?re;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Ramillies;GEEST-GEROMPONT-PETIT-ROSIERE
