postal_code;count;median_total_price;mean_total_price;median_price_per_m2;mean_price_per_m2;percent_luxurious;mun_name;province_num;province_name;region_num;region_name
6250;3;369000;409000;1855;2090;0;Aiseau-Presles;7;Hainaut;2;Wallonia
6280;3;320000;281333;1939;1636;0;Gerpinnes;7;Hainaut;2;Wallonia
6440;2;187000;187000;1801;1801;0;Froidchapelle;7;Hainaut;2;Wallonia
6441;3;155000;145000;2980;2820;0;Froidchapelle;7;Hainaut;2;Wallonia
6500;1;260000;260000;2600;2600;0;Beaumont;7;Hainaut;2;Wallonia
6540;1;345000;345000;2363;2363;0;Lobbes;7;Hainaut;2;Wallonia
6560;6;174000;176833;1377;1240;0;Erquelinnes;7;Hainaut;2;Wallonia
6600;1;550000;550000;1482;1482;100;Bastenaken;6;Luxembourg;2;Wallonia
6660;1;130000;130000;787;787;0;Houffalize;6;Luxembourg;2;Wallonia
6680;1;299000;299000;1251;1251;0;Sainte-Ode;6;Luxembourg;2;Wallonia
6690;2;334000;334000;2528;2528;0;Vielsalm;6;Luxembourg;2;Wallonia
6700;9;399000;416211;3120;3188;0;Aarlen;6;Luxembourg;2;Wallonia
6717;2;200000;200000;2547;2547;0;Attert;6;Luxembourg;2;Wallonia
6724;4;340000;347250;2833;2779;0;Habay;6;Luxembourg;2;Wallonia
6740;1;338847;338847;3940;3940;0;Etalle;6;Luxembourg;2;Wallonia
6747;1;399900;399900;2720;2720;0;Saint-Leger;6;Luxembourg;2;Wallonia
6760;2;138000;138000;1815;1815;0;Virton;6;Luxembourg;2;Wallonia
6790;1;245000;245000;3141;3141;0;Aubange;6;Luxembourg;2;Wallonia
6791;1;235000;235000;2554;2554;0;Aubange;6;Luxembourg;2;Wallonia
6800;2;279450;279450;2374;2374;0;Libramont-Chevigny;6;Luxembourg;2;Wallonia
6860;1;348500;348500;1464;1464;0;Leglise;6;Luxembourg;2;Wallonia
6880;1;125000;125000;1262;1262;0;Bertrix;6;Luxembourg;2;Wallonia
6887;1;449000;449000;1886;1886;0;Herbeumont;6;Luxembourg;2;Wallonia
6900;1;210000;210000;1354;1354;0;Marche-en-Famenne;6;Luxembourg;2;Wallonia
6929;1;195000;195000;1083;1083;0;Daverdisse;6;Luxembourg;2;Wallonia
6940;1;530000;530000;2774;2774;0;Durbuy;6;Luxembourg;2;Wallonia
6997;1;255000;255000;2684;2684;0;Erezee;6;Luxembourg;2;Wallonia
7000;98;249500;287603;2000;2161;8;Bergen;7;Hainaut;2;Wallonia
7011;5;160000;169000;1184;1340;0;Bergen;7;Hainaut;2;Wallonia
7012;31;169000;180058;1300;1502;3;Bergen;7;Hainaut;2;Wallonia
7020;12;182000;187750;1707;1826;0;Bergen;7;Hainaut;2;Wallonia
7022;13;249000;344830;1777;1641;15;Bergen;7;Hainaut;2;Wallonia
7024;3;300000;232666;1200;1026;0;Bergen;7;Hainaut;2;Wallonia
7030;10;262500;292300;2481;2400;0;Bergen;7;Hainaut;2;Wallonia
7031;1;135000;135000;1687;1687;0;Bergen;7;Hainaut;2;Wallonia
7032;2;487250;487250;1689;1689;50;Bergen;7;Hainaut;2;Wallonia
7033;10;122500;129200;1183;1245;0;Bergen;7;Hainaut;2;Wallonia
7034;5;220000;307800;1470;1360;20;Bergen;7;Hainaut;2;Wallonia
7040;1;430000;430000;1077;1077;100;Quevy;7;Hainaut;2;Wallonia
7060;2;520000;520000;1490;1490;50;Zinnik;7;Hainaut;2;Wallonia
7061;1;625000;625000;2314;2314;100;Zinnik;7;Hainaut;2;Wallonia
7080;1;149000;149000;943;943;0;Frameries;7;Hainaut;2;Wallonia
7090;5;225000;354800;1687;1530;40;Gravenbrakel;7;Hainaut;2;Wallonia
7100;132;215304;238548;1430;1517;4;La Louviere;7;Hainaut;2;Wallonia
7110;67;215000;215489;1323;1336;5;La Louviere;7;Hainaut;2;Wallonia
7134;2;239500;239500;1250;1250;0;Binche;7;Hainaut;2;Wallonia
7160;1;179999;179999;1592;1592;0;Chapelle-lez-Herlaimont;7;Hainaut;2;Wallonia
7170;1;319000;319000;1199;1199;0;Manage;7;Hainaut;2;Wallonia
7180;1;410000;410000;2342;2342;0;Seneffe;7;Hainaut;2;Wallonia
7300;1;280000;280000;909;909;0;Boussu;7;Hainaut;2;Wallonia
7301;1;180000;180000;1216;1216;0;Boussu;7;Hainaut;2;Wallonia
7331;1;450000;450000;1618;1618;0;Saint-Ghislain;7;Hainaut;2;Wallonia
7387;2;166500;166500;1375;1375;0;Honnelles;7;Hainaut;2;Wallonia
7390;4;207500;213750;1525;1457;0;Quaregnon;7;Hainaut;2;Wallonia
7500;230;229000;309423;1911;2084;10;Doornik;7;Hainaut;2;Wallonia
7501;1;359000;359000;2475;2475;0;Doornik;7;Hainaut;2;Wallonia
7502;1;145000;145000;1559;1559;0;Doornik;7;Hainaut;2;Wallonia
7503;7;695000;700785;2802;2496;14;Doornik;7;Hainaut;2;Wallonia
7504;5;368800;375954;2500;2522;0;Doornik;7;Hainaut;2;Wallonia
7506;1;115000;115000;1026;1026;0;Doornik;7;Hainaut;2;Wallonia
7520;15;468000;578000;1800;1710;26;Doornik;7;Hainaut;2;Wallonia
7521;7;199000;317428;1877;1836;14;Doornik;7;Hainaut;2;Wallonia
7522;23;359000;442091;1929;1893;17;Doornik;7;Hainaut;2;Wallonia
7530;7;359000;326471;1625;1711;0;Doornik;7;Hainaut;2;Wallonia
7531;3;229000;278853;2223;2203;0;Doornik;7;Hainaut;2;Wallonia
7532;2;304500;304500;1967;1967;0;Doornik;7;Hainaut;2;Wallonia
7533;1;100000;100000;571;571;0;Doornik;7;Hainaut;2;Wallonia
7534;1;285000;285000;1965;1965;0;Doornik;7;Hainaut;2;Wallonia
7536;4;259000;292000;2092;2365;0;Doornik;7;Hainaut;2;Wallonia
7538;7;370000;437714;2216;2338;28;Doornik;7;Hainaut;2;Wallonia
7540;23;360000;429225;2028;2040;13;Doornik;7;Hainaut;2;Wallonia
7542;3;1400000;1606333;4285;3891;66;Doornik;7;Hainaut;2;Wallonia
7543;10;319613;403058;2164;2091;20;Doornik;7;Hainaut;2;Wallonia
7548;2;157000;157000;1046;1046;0;Doornik;7;Hainaut;2;Wallonia
7600;1;105000;105000;783;783;0;Peruwelz;7;Hainaut;2;Wallonia
7611;1;400000;400000;1769;1769;0;Rumes;7;Hainaut;2;Wallonia
7618;1;410800;410800;2196;2196;0;Rumes;7;Hainaut;2;Wallonia
7640;1;130000;130000;646;646;0;Antoing;7;Hainaut;2;Wallonia
7700;211;209000;278804;1545;1720;9;Moeskroen;7;Hainaut;2;Wallonia
7711;60;314000;385681;1844;1907;15;Moeskroen;7;Hainaut;2;Wallonia
7712;33;215000;275481;1380;1522;12;Moeskroen;7;Hainaut;2;Wallonia
7730;2;207000;207000;1536;1536;0;Estaimpuis;7;Hainaut;2;Wallonia
7740;3;450000;412666;1583;1527;66;Pecq;7;Hainaut;2;Wallonia
7750;1;249000;249000;1992;1992;0;Mont-de-lEnclus;7;Hainaut;2;Wallonia
7780;1;100000;100000;1234;1234;0;Komen-Waasten;7;Hainaut;2;Wallonia
7783;1;149000;149000;919;919;0;Komen-Waasten;7;Hainaut;2;Wallonia
7800;2;227500;227500;1937;1937;0;Aat;7;Hainaut;2;Wallonia
7850;1;180000;180000;2250;2250;0;Edingen;7;Hainaut;2;Wallonia
7904;1;350000;350000;1166;1166;0;Leuze-en-Hainaut;7;Hainaut;2;Wallonia
7971;1;386862;386862;2448;2448;0;Beloeil;7;Hainaut;2;Wallonia
7972;1;115000;115000;558;558;0;Beloeil;7;Hainaut;2;Wallonia
8000;83;349000;413353;3113;3096;10;Brugge;8;West Flanders;3;Flanders
8200;51;375000;418466;2868;3176;7;Brugge;8;West Flanders;3;Flanders
8210;7;350000;348571;3846;3697;0;Zedelgem;8;West Flanders;3;Flanders
8300;110;797000;1008355;7758;9408;29;Knokke-Heist;8;West Flanders;3;Flanders
8301;59;495000;689305;7000;7544;16;Knokke-Heist;8;West Flanders;3;Flanders
8310;53;319000;343222;2433;2431;9;Brugge;8;West Flanders;3;Flanders
8340;1;389731;389731;2725;2725;0;Damme;8;West Flanders;3;Flanders
8370;6;348800;327600;3033;3027;0;Blankenberge;8;West Flanders;3;Flanders
8380;28;295000;366214;3490;3387;7;Brugge;8;West Flanders;3;Flanders
8400;243;269000;299052;3266;3416;0;Oostende;8;West Flanders;3;Flanders
8420;1;1840000;1840000;10697;10697;100;De Haan;8;West Flanders;3;Flanders
8430;3;295000;345000;4744;4819;0;Middelkerke;8;West Flanders;3;Flanders
8432;1;134800;134800;962;962;0;Middelkerke;8;West Flanders;3;Flanders
8434;1;401425;401425;2493;2493;0;Middelkerke;8;West Flanders;3;Flanders
8450;3;275000;317000;3228;3657;0;Bredene;8;West Flanders;3;Flanders
8460;1;135000;135000;978;978;0;Oudenburg;8;West Flanders;3;Flanders
8490;1;439850;439850;2339;2339;0;Jabbeke;8;West Flanders;3;Flanders
