municipality_upper,median_income,,coord,municipality
"BEERNEM","29.923","","51.15 3.342","Beernem"
"BLANKENBERGE","26.027","","51.302 3.1405","Blankenberge"
"BRUGES","28.757","","51.2605 3.222","Brugge"
"DAMME","29.827","","51.2522 3.3274","Damme"
"JABBEKE","31.093","","51.191 3.087","Jabbeke"
"OOSTKAMP","30.237","","51.1193 3.2303","Oostkamp"
"TORHOUT","28.932","","51.059 3.089","Torhout"
"ZEDELGEM","30.136","","51.1255 3.1365","Zedelgem"
"ZUIENKERKE","30.170","","51.252 3.128","Zuienkerke"
"KNOKKE-HEIST","28.421","","51.3325 3.3077","Knokke-Heist"
"DIXMUDE","28.018","","51.0455 2.847","Diksmuide"
"HOUTHULST","28.473","","50.9701 2.8963","Houthulst"
"KOEKELARE","28.279","","51.089 2.9639","Koekelare"
"KORTEMARK","28.411","","51.0248 3.0018","Kortemark"
"LO-RENINGE","27.900","","50.9605 2.776","Lo-Reninge"
"YPRES","27.984","","50.8665 2.8415","Ieper"
"MESSINES","24.911","","50.76 2.899","Mesen"
"POPERINGE","27.502","","50.866 2.67","Poperinge"
"WERVIK","27.175","","50.8102 3.0565","Wervik"
"ZONNEBEKE","28.514","","50.8645 3.0025","Zonnebeke"
"HEUVELLAND","27.870","","50.7756 2.8303","Heuvelland"
"LANGEMARK-POELKAPELLE","28.943","","50.9159 2.9294","Langemark-Poelkapelle"
"VLETEREN","27.817","","50.9195 2.7275","Vleteren"
"ANZEGEM","29.745","","50.8308 3.454","Anzegem"
"AVELGEM","28.445","","50.7777 3.4536","Avelgem"
"DEERLIJK","29.717","","50.8426 3.3662","Deerlijk"
"HARELBEKE","28.420","","50.8638 3.3074","Harelbeke"
"COURTRAI","27.727","","50.8 3.2645","Kortrijk"
"KUURNE","28.311","","50.86 3.271","Kuurne"
"LENDELEDE","29.174","","50.885 3.2305","Lendelede"
"MENIN","26.279","","50.7935 3.1965","Menen"
"WAREGEM","28.848","","50.878 3.419","Waregem"
"WEVELGEM","29.106","","50.8314 3.1738","Wevelgem"
"ZWEVEGEM","29.296","","50.7825 3.3815","Zwevegem"
"ESPIERRES-HELCHIN","27.167","","50.7306 3.3625","Spiere-Helkijn"
"BREDENE","28.387","","51.239 2.9765","Bredene"
"GISTEL","29.094","","51.1511 2.9432","Gistel"
"ICHTEGEM","29.144","","51.11 3.0305","Ichtegem"
"MIDDELKERKE","26.905","","51.1534 2.8384","Middelkerke"
"OSTENDE","25.635","","51.2155 2.921","Oostende"
"OUDENBURG","29.081","","51.1862 3.012","Oudenburg"
"LE COQ","27.692","","51.2618 3.0475","De Haan"
"HOOGLEDE","29.342","","50.9895 3.0824","Hooglede"
"INGELMUNSTER","28.535","","50.9215 3.2635","Ingelmunster"
"IZEGEM","28.412","","50.9211 3.2055","Izegem"
"LEDEGEM","28.736","","50.8705 3.1175","Ledegem"
"LICHTERVELDE","29.572","","51.028 3.1462","Lichtervelde"
"MOORSLEDE","28.419","","50.8825 3.0725","Moorslede"
"ROULERS","27.912","","50.9369 3.1336","Roeselare"
"STADEN","28.347","","50.9575 3.0005","Staden"
"DENTERGEM","29.129","","50.9532 3.4065","Dentergem"
"MEULEBEKE","28.696","","50.951 3.295","Meulebeke"
"OOSTROZEBEKE","28.641","","50.9306 3.3372","Oostrozebeke"
"PITTEM","28.800","","51.001 3.259","Pittem"
"RUISELEDE","29.327","","51.0625 3.3655","Ruiselede"
"TIELT","28.345","","51.0075 3.3325","Tielt"
"WIELSBEKE","28.916","","50.912 3.3674","Wielsbeke"
"WINGENE","29.349","","51.0595 3.2598","Wingene"
"ARDOOIE","28.592","","50.9816 3.203","Ardooie"
"ALVERINGEM","28.366","","50.9755 2.6585","Alveringem"
"LA PANNE","26.478","","51.0808 2.5884","De Panne"
"KOKSIJDE","28.208","","51.1155 2.6795","Koksijde"
"NIEUPORT","26.113","","51.125 2.7648","Nieuwpoort"
"FURNES","28.019","","51.0466 2.6648","Veurne"
"ALOST","27.791","","50.9446 4.0687","Aalst"
"DENDERLEEUW","28.330","","50.888 4.0595","Denderleeuw"
"GRAMMONT","28.112","","50.7796 3.904","Geraardsbergen"
"HAALTERT","30.158","","50.8846 3.9933","Haaltert"
"HERZELE","30.466","","50.8703 3.8924","Herzele"
"LEDE","30.201","","50.9675 3.9655","Lede"
"NINOVE","28.277","","50.8261 4.0049","Ninove"
"SINT-LIEVENS-HOUTEM","31.036","","50.931 3.8758","Sint-Lievens-Houtem"
"ZOTTEGEM","30.015","","50.864 3.801","Zottegem"
"ERPE-MERE","30.078","","50.9215 3.9519","Erpe-Mere"
"BERLARE","29.517","","51.039 3.963","Berlare"
"BUGGENHOUT","30.290","","51.0119 4.1988","Buggenhout"
"TERMONDE","28.592","","51.0285 4.1275","Dendermonde"
"HAMME","28.110","","51.0782 4.1397","Hamme"
"LAARNE","30.940","","51.0465 3.9115","Laarne"
"LEBBEKE","29.367","","50.9924 4.119","Lebbeke"
"WAASMUNSTER","30.233","","51.1185 4.0395","Waasmunster"
"WETTEREN","28.519","","50.9945 3.8703","Wetteren"
"WICHELEN","30.220","","50.9987 3.9535","Wichelen"
"ZELE","27.557","","51.0673 4.0359","Zele"
"ASSENEDE","30.144","","51.2245 3.704","Assenede"
"EEKLO","26.914","","51.1945 3.5622","Eeklo"
"KAPRIJKE","29.970","","51.2081 3.6271","Kaprijke"
"MALDEGEM","29.059","","51.1981 3.4504","Maldegem"
"SINT-LAUREINS","29.657","","51.26 3.5803","Sint-Laureins"
"ZELZATE","26.995","","51.198 3.8105","Zelzate"
"DE PINTE","33.543","","50.9859 3.6693","De Pinte"
"DESTELBERGEN","30.895","","51.0443 3.8094","Destelbergen"
"EVERGEM","29.920","","51.143 3.7155","Evergem"
"GAVERE","30.651","","50.929 3.69","Gavere"
"GAND","27.371","","51.0743 3.7254","Gent"
"LOCHRISTI","31.275","","51.1032 3.8571","Lochristi"
"MELLE","31.281","","50.9969 3.7964","Melle"
"MERELBEKE","31.671","","50.9743 3.7407","Merelbeke"
"MOERBEKE","30.310","","51.1824 3.945","Moerbeke"
"NAZARETH","30.824","","50.9585 3.6275","Nazareth"
"OOSTERZELE","31.790","","50.9388 3.7971","Oosterzele"
"SINT-MARTENS-LATEM","32.789","","51.0085 3.623","Sint-Martens-Latem"
"WACHTEBEKE","29.874","","51.1835 3.8685","Wachtebeke"
"ZULTE","29.906","","50.9373 3.4724","Zulte"
"DEINZE","30.105","","51.018 3.5316","Deinze"
"AALTER","30.174","","51.0953 3.4473","Aalter"
"LIEVEGEM","29.607","","51.125 3.561","Lievegem"
"AUDENARDE","29.192","","50.8535 3.6209","Oudenaarde"
"RENAIX","24.855","","50.7496 3.6077","Ronse"
"BRAKEL","29.500","","50.797 3.749","Brakel"
"KLUISBERGEN","29.559","","50.7845 3.5385","Kluisbergen"
"WORTEGEM-PETEGEM","31.580","","50.8485 3.5276","Wortegem-Petegem"
"HOREBEKE","30.630","","50.8322 3.6946","Horebeke"
"LIERDE","30.184","","50.8054 3.8364","Lierde"
"MAARKEDAL","30.747","","50.7952 3.641","Maarkedal"
"ZWALM","30.817","","50.8772 3.7239","Zwalm"
"KRUISEM","30.776","","50.9081 3.561","Kruisem"
"BEVEREN","29.867","","51.26 4.236","Beveren"
"KRUIBEKE","29.497","","51.1578 4.2918","Kruibeke"
"LOKEREN","28.272","","51.1134 3.9615","Lokeren"
"SINT-GILLIS-WAAS","29.727","","51.2298 4.1189","Sint-Gillis-Waas"
"SAINT-NICOLAS, Flandre-Orientale","26.293","","51.1648 4.1087","Sint-Niklaas"
"STEKENE","29.369","","51.2123 4.0285","Stekene"
"TAMISE","27.888","","51.1385 4.207","Temse"
"ATH","27.317","","50.6395 3.7729","Aat"
"BELOEIL","26.785","","50.5326 3.6886","Beloeil"
"BERNISSART","25.843","","50.4785 3.6515","Bernissart"
"BRUGELETTE","27.931","","50.6021 3.8672","Brugelette"
"CHIEVRES","27.965","","50.5712 3.784","Chièvres"
"ELLEZELLES","28.244","","50.729 3.683","Elzele"
"FLOBECQ","27.778","","50.7535 3.7316","Vloesberg"
"FRASNES-LEZ-ANVAING","28.021","","50.6823 3.6007","Frasnes-lez-Anvaing"
"ENGHIEN","28.203","","50.6725 4.0025","Edingen"
"SILLY","29.855","","50.6425 3.9285","Opzullik"
"LESSINES","26.402","","50.7125 3.8331","Lessen"
"CHAPELLE-LEZ-HERLAIMONT","24.779","","50.4626 4.2876","Chapelle-lez-Herlaimont"
"CHARLEROI","21.610","","50.421 4.4345","Charleroi"
"CHATELET","22.741","","50.3972 4.5224","Châtelet"
"COURCELLES","24.451","","50.4725 4.3411","Courcelles"
"FARCIENNES","21.279","","50.4344 4.547","Farciennes"
"FLEURUS","25.155","","50.4862 4.5392","Fleurus"
"FONTAINE-L'EVEQUE","24.753","","50.4073 4.3218","Fontaine-l’Evêque"
"GERPINNES","28.736","","50.347 4.5265","Gerpinnes"
"MONTIGNY-LE-TILLEUL","28.401","","50.3763 4.3711","Montigny-le-Tilleul"
"PONT-A-CELLES","28.475","","50.5155 4.3545","Pont-à-Celles"
"AISEAU-PRESLES","24.641","","50.403 4.574","Aiseau-Presles"
"LES BONS VILLERS","28.924","","50.5278 4.4481","Les Bons Villers"
"BOUSSU","22.992","","50.4235 3.801","Boussu"
"DOUR","24.034","","50.3873 3.7869","Dour"
"FRAMERIES","24.262","","50.383 3.879","Frameries"
"HENSIES","24.892","","50.4357 3.7139","Hensies"
"JURBISE","32.045","","50.522 3.899","Jurbeke"
"LENS","29.018","","50.578 3.944","Lens"
"MONS","25.159","","50.4525 3.9718","Bergen"
"QUAREGNON","22.621","","50.4378 3.8585","Quaregnon"
"QUIEVRAIN","23.091","","50.396 3.695","Quiévrain"
"SAINT-GHISLAIN","25.983","","50.49 3.788","Saint-Ghislain"
"COLFONTAINE","22.351","","50.407 3.842","Colfontaine"
"HONNELLES","27.493","","50.3435 3.6975","Honnelles"
"QUEVY","28.533","","50.3665 3.9543","Quévy"
"BRAINE-LE-COMTE","27.693","","50.617 4.183","’s Gravenbrakel"
"LE ROEULX","27.915","","50.5073 4.1061","Le Roeulx"
"SOIGNIES","27.757","","50.5662 4.0384","Zinnik"
"ECAUSSINNES","27.538","","50.5628 4.1795","Ecaussinnes"
"SENEFFE","28.228","","50.549 4.261","Seneffe"
"MANAGE","24.184","","50.4931 4.239","Manage"
"ANDERLUES","24.877","","50.4037 4.2657","Anderlues"
"BEAUMONT","25.687","","50.227 4.2555","Beaumont"
"CHIMAY","23.914","","50.0409 4.3243","Chimay"
"ERQUELINNES","24.298","","50.3038 4.1386","Erquelinnes"
"FROIDCHAPELLE","24.711","","50.1425 4.3415","Froidchapelle"
"LOBBES","28.419","","50.3545 4.2435","Lobbes"
"MERBES-LE-CHATEAU","26.052","","50.321 4.1944","Merbes-le-Château"
"MOMIGNIES","23.262","","50.009 4.189","Momignies"
"THUIN","26.831","","50.3242 4.3108","Thuin"
"HAM-SUR-HEURE-NALINNES","30.062","","50.3275 4.4139","Ham-sur-Heure-Nalinnes"
"SIVRY-RANCE","25.112","","50.1601 4.2104","Sivry-Rance"
"ANTOING","25.552","","50.5561 3.4657","Antoing"
"CELLES","27.542","","50.7037 3.449","Celles"
"ESTAIMPUIS","26.416","","50.6876 3.2885","Estaimpuis"
"PECQ","26.811","","50.6851 3.3567","Pecq"
"PERUWELZ","25.309","","50.5335 3.5625","Péruwelz"
"RUMES","27.018","","50.543 3.308","Rumes"
"TOURNAI","25.758","","50.6205 3.4105","Doornik"
"BRUNEHAUT","27.424","","50.529 3.396","Brunehaut"
"LEUZE-EN-HAINAUT","26.944","","50.5972 3.6288","Leuze-en-Hainaut"
