url,property_id,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,kitchen_surface,water_softener,bathrooms,low_energy,solar_panels,heating_type,heat_pump,air_conditioning,alarm,parking_places_outdoor,garden_surface,garden_orientation,terrace_surface,terrace_orientation,land_surface,sewer_connection,running_water,rain_water_tank,primary_energy_consumption,co2,certification_electrical_installation,certification_gasoil_tank,planning_permission_granted,preemption_right,flooding_area_type,demarcated_flooding_area,surroundings_protected,opportunity_for_professional,availability,wash_room,parking_places_indoor,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,front_facade_orientation,number_floors,toilets,diningrooms,frontage_width,terrain_width_roadside,g_score,p_score,cadastral_income,vat,maintenance_cost
https://immovlan.be/en/detail/residence/for-sale/9400/ninove/rbu68624,rbu68624,475000,6,265.0,To be renovated,3,0,0,1,No,Fully equipped,1949,Yes,1,Western kitchen,15.0,None,3,None,None,Fuel oil,None,Yes,None,None,90.0,None,None,None,560.0,Yes,Yes,None,176.0,None,"No, certificate does not comply",None,No,No,no flooding area,(information not available),None,None,None,None,None,No,37.0,Yes,Double glass,0,None,None,No,None,None,None,4,None,None,None,A,A,1194,: No,None
https://immovlan.be/en/real-estate/house/for-sale/liege,liege,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/1651/lot/rbu68625,rbu68625,235000,2,115.0,To be renovated,2,0,0,1,No,Partially equipped,1959,Yes,1,Kitchenette,8.0,None,1,None,None,Hot air,Yes,None,None,None,None,None,None,None,226.0,No,Yes,Yes,574.0,None,"No, certificate does not comply",None,No,No,(information not available),(information not available),None,None,On contract,None,None,No,34.0,Yes,None,0,None,None,No,None,None,1,1,None,None,None,None,None,463,: No,None
https://immovlan.be/en/detail/residence/for-sale/3140/keerbergen/rbu68612,rbu68612,445000,6,305.0,To renovate,4,None,1,1,None,Super equipped,1971,Yes,1,None,None,None,2,None,None,Electricity,None,None,None,None,None,None,None,None,748.0,Yes,Yes,Yes,552.0,None,"No, certificate does not comply",None,Yes,No,no flooding area,(information not available),None,None,None,None,None,None,None,Yes,Double glass,None,None,None,None,None,None,None,2,None,None,None,A,None,2171,: No,None
https://immovlan.be/en/detail/residence/for-sale/3200/aarschot/rbu68617,rbu68617,219000,1,143.0,None,2,None,None,None,None,Fully equipped,1999,None,None,Western kitchen,None,None,1,None,None,Electricity,None,None,None,None,None,None,None,None,52.0,Yes,Yes,None,238.0,None,"No, certificate does not comply",None,None,No,no flooding area,(information not available),None,None,None,None,None,None,None,None,Double glass,None,None,None,None,None,None,None,None,None,None,None,B,B,681,: No,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69837,rbu69837,500000,3,150.0,None,2,None,1,1,None,None,None,None,1,None,None,None,2,None,None,None,None,None,No,None,None,None,8.0,None,114.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,3,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69828,rbu69828,509000,3,139.0,None,2,None,1,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,No,None,None,None,15.0,None,170.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,2,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/residence/for-sale/1340/ottignies/vbd51194,vbd51194,395000,4,144.0,Normal,4,None,1,1,None,Super equipped,1973,None,1,None,12.0,None,2,None,Yes,Gas,None,None,Yes,None,430.0,None,20.0,None,620.0,Yes,Yes,None,157.0,26,None,None,None,None,no flooding area,(information not available),None,None,On contract,None,None,None,33.0,Yes,Double glass,None,None,None,None,None,None,1,2,None,10 m,10 m,None,None,None,: No,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69836,rbu69836,500000,3,150.0,None,2,None,1,1,None,None,None,None,1,None,None,None,1,None,None,None,None,None,No,None,None,None,8.0,None,107.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,2,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbd51182,vbd51182,179000,5,195.0,To be renovated,3,0,1,0,No,None,1937,Yes,1,Independent,29.0,None,2,None,None,Not specified,None,None,None,None,None,None,22.0,None,140.0,Yes,Yes,None,865.0,247,None,None,No,No,no flooding area,(information not available),None,None,On contract,None,None,No,34.0,None,Double glass,0,None,None,No,None,None,2,2,None,9 m,9 m,None,None,1095,: No,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69844,rbu69844,518000,3,149.0,None,2,None,1,1,None,None,None,None,1,None,None,None,1,None,None,None,None,None,No,None,None,None,8.0,None,117.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,2,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69843,rbu69843,518000,3,150.0,None,2,None,1,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,No,None,None,None,8.0,None,117.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,2,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69835,rbu69835,500000,3,150.0,None,2,None,1,1,None,None,None,None,1,None,None,None,1,None,None,None,None,None,No,None,None,None,8.0,None,100.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,2,None,None,None,None,None,None,: No,None
https://immovlan.be/en/real-estate/house/for-sale/grivegnee,grivegnee,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69839,rbu69839,518000,3,150.0,None,2,None,1,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,No,None,None,None,8.0,None,117.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,2,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69832,rbu69832,518000,3,138.0,None,2,None,1,1,None,None,None,None,1,None,None,None,1,None,None,None,None,None,No,None,None,None,16.0,None,189.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,2,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69841,rbu69841,518000,3,150.0,None,2,None,1,1,None,None,None,None,1,None,None,None,2,None,None,None,None,None,No,None,None,None,8.0,None,117.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,3,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69838,rbu69838,518000,3,150.0,None,2,None,1,1,None,None,None,None,1,None,None,None,2,None,None,None,None,None,No,None,None,None,8.0,None,117.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,3,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69840,rbu69840,518000,3,150.0,None,2,None,1,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,No,None,None,None,8.0,None,117.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69842,rbu69842,518000,3,150.0,None,2,None,1,1,None,None,None,None,1,None,None,None,2,None,None,None,None,None,No,None,None,None,8.0,None,117.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,3,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69845,rbu69845,547000,3,158.0,None,2,None,1,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,No,None,None,None,8.0,None,124.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,2,None,None,None,None,None,None,None,None
